MATERIAL INFORMATION	
	Material = Hydroxyapatite (powder)
SAXS INSTRUMENT	
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 500 s

===============================================================	
q (A^-1)	I(q)
===============================================================
0.804514	0.00378324
0.805736	0.00372924
0.806957	0.00364176
0.808179	0.00352944
0.8094		0.0027486
0.810622	0.0022788
0.811843	0.00279288
0.813065	0.00353484
0.814286	0.002187
0.815507	0.00397548
0.816729	0.00421092
0.81795		0.00301752
0.819172	0.00240948
0.820393	0.00338364
0.821614	0.00328968
0.822835	0.00364392
0.824057	0.00247752
0.825278	0.00200016
0.826499	0.0021546
0.82772		0.0022248
0.828942	0.0041256
0.830163	0.00323028
0.831384	0.00382428
0.832605	0.00351648
0.833826	0.00200664
0.835047	0.00190188
0.836268	0.00142236
0.837489	0.00141696
0.83871		0.00897588
0.839931	0.00185112
0.841152	0.00060264
0.842373	0.00334908
0.843594	0.00304884
0.844815	0.00344628
0.846036	0.00294948
0.847257	0.00243756
0.848478	0.0015228
0.849699	0.00371412
0.85092		0.00421092
0.852141	0.00402192
0.853361	0.004239
0.854582	0.00368388
0.855803	0.00336636
0.857024	0.00259632
0.858244	0.00322812
0.859465	0.00073116
0.860686	0.00032616
0.861907	0.00219888
0.863127	0.00027
0.864348	0.0019764
0.865568	0.00289332
0.866789	0.002403
0.86801		0.00186408
0.86923		0.00246672
0.870451	0.00072576
0.871671	0.00111996
0.872892	0.00253044
0.874112	0.00231984
0.875333	0.00266976
0.876553	0.00227556
0.877773	0.0016848
0.878994	0.00172152
0.880214	0.000783
0.881435	0.00025272
0.882655	0.0017226
0.883875	0.00348084
0.885096	0.00416664
0.886316	0.00230256
0.887536	0.00363852
0.888756	0.00309636
0.889977	0.00241272
0.891197	0.00216756
0.892417	0.00225072
0.893637	0.00135972
0.894857	0.00061452
0.896077	0.00304776
0.897297	0.00178524
0.898517	0.00121716
0.899738	0.00165348
0.900958	0.00176364
0.902178	0.00155844
0.903398	0.00293544
0.904618	0.00355644
0.905837	0.00104112
0.907057	0.00104652
