MATERIAL INFORMATION
	Material = King Arthur parchment
	Thickness = 0.006 mm
SAXS INSTRUMENT
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 500 s

===============================================================
q (A^-1)	I(q)
===============================================================
1.00886	0.241613
1.01008	0.264539
1.01131	0.347677
1.01254	0.360259
1.01377	0.362914
1.015	0.354258
1.01623	0.367794
1.01746	0.364548
1.01869	0.271784
1.01992	0.321846
1.02115	0.311366
1.02237	0.368127
1.0236	0.325736
1.02483	0.356306
1.02606	0.306419
1.02729	0.322375
1.02852	0.390657
1.02975	0.406305
1.03098	0.384728
1.0322	0.370428
1.03343	0.330769
1.03466	0.337454
1.03589	0.396272
1.03712	0.415679
1.03835	0.423498
1.03957	0.433661
1.0408	0.397042
1.04203	0.35026
1.04326	0.460314
1.04449	-0.168012
1.04572	0.326606
1.04694	0.356451
1.04817	0.3842
1.0494	0.347225
1.05063	0.389178
1.05186	0.462196
1.05308	0.390407
1.05431	0.358771
1.05554	0.395402
1.05677	0.268118
1.058	0.456864
1.05923	0.378891
1.06045	0.41847
1.06168	0.463361
1.06291	0.471685
1.06414	0.35325
1.06537	0.366575
1.06659	0.41674
1.06782	0.398993
1.06905	0.319878
1.07028	0.382295
1.0715	0.342459
1.07273	0.41892
1.07396	0.335214
1.07519	0.305623
1.07642	0.242876
1.07764	0.441758
1.07887	0.581446
1.0801	0.489764
1.08133	0.407658
1.08255	0.405602
1.08378	0.405049
1.08501	0.372168
1.08624	0.317912
1.08746	0.33294
1.08869	0.375883
1.08992	0.355531
1.09115	0.325647
1.09237	0.389501
1.0936	0.466572
1.09483	0.512983
1.09606	0.500799
1.09728	0.406964
1.09851	0.426564
1.09974	0.374875
1.10097	0.406263
1.10219	0.360019
1.10342	0.395608
1.10465	0.425528
1.10587	0.356904
1.1071	0.390592
1.10833	0.340445
1.10955	0.294808
1.11078	0.341545
1.11201	0.342883
1.11324	0.40179
1.11446	0.337648
1.11569	0.484125
1.11692	0.501602
1.11814	0.373326
1.11937	0.495587
1.1206	0.536178
1.12182	0.50996
1.12305	0.384026
1.12428	0.390734
1.1255	0.424118
1.12673	0.368581
1.12796	0.357878
1.12918	0.35465
1.13041	0.386168
1.13164	0.419794
1.13286	0.468068
1.13409	0.323992
1.13532	0.471242
1.13654	0.387777
1.13777	0.401824
1.139	0.394678
1.14022	0.372378
1.14145	0.372834
1.14267	0.412479
1.1439	0.322844
1.14513	0.178974
1.14635	0.428489
1.14758	0.375646
1.14881	0.334913
1.15003	0.349953
1.15126	0.42176
1.15248	0.442557
1.15371	0.376957
1.15494	0.468409
1.15616	0.403156
1.15739	0.358084
1.15861	0.424128
1.15984	0.371901
1.16107	0.409665
1.16229	0.388493
1.16352	0.465437
1.16474	0.343684
1.16597	0.319676
1.1672	0.286715
1.16842	0.206297
1.16965	0.292967
1.17087	0.271995
1.1721	0.246106
1.17332	0.249742
1.17455	0.309586
1.17578	0.301674
1.177	0.259986
1.17823	0.238534
1.17945	0.333922
1.18068	0.418411
1.1819	0.381194
1.18313	0.353248
1.18435	0.338812
1.18558	0.248284
1.1868	0.354698
1.18803	0.349839
1.18926	0.341276
1.19048	0.314376
1.19171	0.214841
1.19293	0.283966
1.19416	0.231612
1.19538	0.22264
1.19661	0.223506
1.19783	0.325958
1.19906	0.30071
1.20028	0.320018
1.20151	0.321963
1.20273	0.376081
1.20396	0.386548
1.20518	0.331229
1.20641	0.279176
1.20763	0.33616
1.20886	0.189107
1.21008	0.180068
1.21131	0.148296
1.21253	0.319619
1.21375	0.295618
1.21498	0.350038
1.2162	0.386827
1.21743	0.377416
1.21865	0.301381
1.21988	0.125578
1.2211	0.177066
1.22233	0.196235
1.22355	0.160413
1.22478	0.166957
1.226	0.155967
1.22723	0.229444
1.22845	0.136303
1.22967	0.152029
1.2309	0.177483
1.23212	0.102638
1.23335	0.224256
1.23457	0.170346
1.2358	0.118995
1.23702	0.172086
1.23824	0.216768
1.23947	0.258039
1.24069	0.233029
1.24192	0.21672
1.24314	0.242485
1.24436	0.222886
1.24559	0.223102
1.24681	0.260666
1.24804	0.260222
1.24926	0.150021
1.25048	0.151063
1.25171	0.186447
1.25293	0.13373
1.25416	0.205093
1.25538	0.155384
1.2566	0.200704
1.25783	0.213395
1.25905	0.229667
1.26027	0.159329
1.2615	0.141053
1.26272	0.115204
1.26395	0.242035
1.26517	0.248109
1.26639	0.208865
1.26762	0.146031
1.26884	0.101487
1.27006	0.102532
1.27129	0.0454873
1.27251	0.0769873
1.27373	0.0673501
1.27496	0.179594
1.27618	0.0335127
1.2774	-0.0567529
1.27863	6.49617e-05
1.27985	0.0736565
1.28107	0.157794
1.2823	0.153149
1.28352	0.171149
1.28474	0.334584
1.28596	0.250102
1.28719	0.280838
1.28841	0.241476
1.28963	0.0473988
1.29086	0.214041
1.29208	0.0830245
1.2933	0.0955338
1.29452	0.0490176
1.29575	-0.0459293
1.29697	0.00175259
1.29819	-0.0178299
1.29942	0.16536
1.30064	0.100405
1.30186	0.15845
1.30308	0.205984
1.30431	0.250669
1.30553	0.156985
1.30675	0.157021
1.30797	0.196404
1.3092	0.201502
1.31042	0.215893
1.31164	0.242866
1.31286	0.241419
1.31409	0.266396
1.31531	0.178752
1.31653	0.157906
1.31775	0.0400964
1.31898	0.0727773
1.3202	0.106068
1.32142	0.106386
1.32264	0.125905
1.32386	0.269376
1.32509	0.184667
1.32631	0.10753
1.32753	0.12875
1.32875	0.227167
1.32997	0.163976
1.3312	0.168476
1.33242	0.231331
1.33364	0.105679
1.33486	0.240921
1.33608	0.0736049
1.33731	-0.021439
1.33853	0.126204
1.33975	0.130329
1.34097	0.136143
1.34219	0.102341
1.34341	0.052778
1.34464	0.117158
1.34586	0.262164
1.34708	0.161902
1.3483	0.167528
1.34952	0.210466
1.35074	0.153494
1.35196	0.117521
1.35319	0.0970139
1.35441	0.145113
1.35563	0.137886
1.35685	0.157356
1.35807	0.266148
1.35929	0.246737
1.36051	0.327871
1.36173	0.26793
1.36295	0.211112
1.36418	0.211166
1.3654	0.179735
1.36662	0.114119
1.36784	0.13283
1.36906	0.168951
1.37028	0.109167
1.3715	0.16934
1.37272	0.182094
1.37394	0.126403
1.37516	0.121414
1.37639	0.140509
1.37761	0.128314
