MATERIAL INFORMATION
	Material = 33% iodine on King Arthur parchment
	Thickness = 0.006 mm
SAXS INSTRUMENT
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 500 s

===============================================================
q (A^-1)	I(q)
===============================================================
1.24559	0.226903
1.24681	0.173561
1.24804	0.260387
1.24926	0.254728
1.25048	0.169409
1.25171	0.214792
1.25293	0.163894
1.25416	0.197076
1.25538	0.171003
1.2566	0.194506
1.25783	0.206287
1.25905	0.177107
1.26027	0.101314
1.2615	0.0948559
1.26272	0.155368
1.26395	0.210383
1.26517	0.223729
1.26639	0.199939
1.26762	0.158923
1.26884	0.148923
1.27006	0.164513
1.27129	0.102923
1.27251	0.0944245
1.27373	0.0575155
1.27496	0.177031
1.27618	0.0627677
1.2774	0.0197734
1.27863	0.072046
1.27985	0.134729
1.28107	0.156141
1.2823	0.148769
1.28352	0.17495
1.28474	0.311113
1.28596	0.144815
1.28719	0.161915
1.28841	0.147099
1.28963	0.149379
1.29086	0.176934
1.29208	0.105007
1.2933	0.135698
1.29452	0.0173653
1.29575	0.0969586
1.29697	0.186457
1.29819	0.119604
1.29942	0.215523
1.30064	0.104207
1.30186	0.160433
1.30308	0.157968
1.30431	0.139019
1.30553	0.183513
1.30675	0.196276
1.30797	0.237476
1.3092	0.127124
1.31042	0.139696
1.31164	0.0957623
1.31286	0.203403
1.31409	0.114747
1.31531	0.0152852
1.31653	0.114436
1.31775	-0.0242821
1.31898	0.0147623
1.3202	0.0625982
1.32142	0.042007
1.32264	0.089707
1.32386	0.188634
1.32509	0.203923
1.32631	0.090423
1.32753	0.182549
1.32875	0.294602
1.32997	0.229594
1.3312	0.17046
1.33242	0.250587
1.33364	0.139479
1.33486	0.212905
1.33608	0.153767
1.33731	0.0578145
1.33853	0.157277
1.33975	0.0650418
1.34097	0.20176
1.34219	0.145232
1.34341	0.217483
1.34464	0.174594
1.34586	0.254148
1.34708	0.13934
1.3483	0.175875
1.34952	0.177904
1.35074	0.156386
1.35196	0.206774
1.35319	0.145359
1.35441	0.197094
1.35563	0.174413
1.35685	0.175703
1.35807	0.312675
1.35929	0.289628
1.36051	0.197131
1.36173	0.281731
1.36295	0.290365
1.36418	0.296783
1.3654	0.344441
1.36662	0.439729
1.36784	0.183902
1.36906	0.205478
1.37028	0.212056
1.3715	0.186777
1.37272	0.174987
1.37394	0.242928
1.37516	0.271574
1.37639	0.307032
1.37761	0.320292
1.37883	0.0680109
1.38005	-0.116779
1.38127	0.262776
1.38249	0.366675
1.38371	0.303974
1.38493	0.345755
1.38615	0.31481
1.38737	0.173731
1.38859	0.242466
1.38981	0.293866
1.39103	0.386318
1.39225	0.336718
1.39347	0.275691
1.39469	0.210265
1.39591	0.340164
1.39713	0.303421
1.39835	0.311283
1.39957	0.343184
1.40079	0.267167
1.40201	0.340502
1.40323	0.344909
1.40445	0.251412
1.40567	0.253293
1.40689	0.250149
1.40811	0.353311
1.40933	0.219259
1.41055	0.283449
1.41177	0.269602
1.41299	0.281465
1.41421	0.265585
1.41543	0.376228
1.41665	0.39267
1.41787	0.378209
1.41909	0.515861
1.42031	0.524179
1.42153	0.487771
1.42275	0.45277
1.42397	0.405098
1.42519	0.38479
1.42641	0.390863
1.42763	0.416363
1.42885	0.451517
1.43007	0.375035
1.43129	0.495481
1.43251	0.390462
1.43372	0.459928
1.43494	0.355773
1.43616	0.368261
1.43738	0.376835
1.4386	0.47797
1.43982	0.367808
1.44104	0.34262
1.44226	0.424007
1.44348	0.362018
1.4447	0.33532
1.44592	0.418975
1.44713	0.441146
1.44835	0.513798
1.44957	0.551997
1.45079	0.544815
1.45201	0.513261
1.45323	0.488396
1.45445	0.483135
1.45567	0.382791
1.45688	0.331237
1.4581	0.385751
1.45932	0.364863
1.46054	0.466754
1.46176	0.489963
1.46298	0.466699
1.46419	0.495409
1.46541	0.503363
1.46663	0.410555
1.46785	0.470172
1.46907	0.491114
1.47029	0.492733
1.47151	0.473461
1.47272	0.493225
1.47394	0.446788
1.47516	0.411398
1.47638	0.536105
1.4776	0.516607
1.47881	0.539787
1.48003	0.490151
1.48125	0.497326
1.48247	0.392063
1.48368	0.527153
1.4849	0.425616
1.48612	0.620895
1.48734	0.637069
1.48856	0.571715
1.48977	0.520044
1.49099	0.562253
1.49221	0.642253
1.49343	0.514982
1.49464	0.485334
1.49586	0.598241
1.49708	0.642722
1.4983	0.679302
1.49951	0.686376
1.50073	0.674485
1.50195	0.619597
1.50317	0.618688
1.50438	0.629705
1.5056	0.595179
1.50682	0.652486
1.50804	0.596614
1.50925	0.61484
1.51047	0.601005
1.51169	0.566898
1.5129	0.557343
1.51412	0.591295
1.51534	0.600796
1.51655	0.565307
1.51777	0.505272
1.51899	0.65248
1.52021	0.707486
1.52142	0.750293
1.52264	0.767995
1.52386	0.66714
1.52507	0.603877
1.52629	0.576125
1.52751	0.608015
1.52872	0.629542
1.52994	0.722767
1.53116	0.758904
1.53237	0.800784
1.53359	0.832121
1.5348	0.777876
1.53602	0.762447
1.53724	0.833516
1.53845	0.806263
1.53967	0.845627
1.54089	0.795109
1.5421	0.87642
1.54332	0.92509
1.54453	0.874521
1.54575	0.890156
1.54697	1.48165
1.54818	1.05885
1.5494	1.06997
1.55061	1.13063
1.55183	1.04101
1.55305	0.907489
1.55426	1.04725
1.55548	0.960598
1.55669	0.969954
1.55791	0.968462
1.55913	0.981062
1.56034	0.986411
1.56156	1.00619
1.56277	0.969598
1.56399	0.994481
1.5652	1.01126
1.56642	1.07941
1.56763	1.14092
1.56885	1.15628
1.57006	1.19527
1.57128	0.990235
1.5725	1.06799
1.57371	1.1087
1.57492	1.13832
1.57614	1.18937
1.57736	1.14661
1.57857	1.19702
1.57979	1.17001
1.581	1.13739
1.58222	1.14255
1.58343	1.13214
1.58465	1.2508
1.58586	1.27265
1.58708	1.14365
1.58829	1.15639
1.5895	1.1538
1.59072	1.13833
1.59193	1.09981
1.59315	1.06073
