MATERIAL INFORMATION	
	Material = Flx9095
	Thickness = 1 mm
SAXS INSTRUMENT	
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 60 s

===============================================================	
q (A^-1)	I(q)
===============================================================
1.1011	0.23438
1.10232	0.231161
1.10353	0.237092
1.10475	0.233339
1.10597	0.234682
1.10718	0.238149
1.1084	0.237297
1.10962	0.235682
1.11083	0.242088
1.11205	0.237262
1.11327	0.237002
1.11448	0.240616
1.1157	0.240906
1.11692	0.244154
1.11813	0.243368
1.11935	0.245669
1.12056	0.24361
1.12178	0.243731
1.123	0.244003
1.12421	0.245728
1.12543	0.250423
1.12665	0.248067
1.12786	0.243966
1.12908	0.244636
1.13029	0.243234
1.13151	0.251438
1.13273	0.247598
1.13394	0.246882
1.13516	0.250968
1.13637	0.252506
1.13759	0.255194
1.13881	0.259638
1.14002	0.252658
1.14124	0.255794
1.14246	0.254863
1.14367	0.255378
1.14489	0.254303
1.1461	0.258398
1.14732	0.256482
1.14853	0.258081
1.14975	0.261841
1.15097	0.260185
1.15218	0.261185
1.1534	0.261359
1.15461	0.261755
1.15583	0.259708
1.15704	0.260699
1.15826	0.266725
1.15948	0.261972
1.16069	0.261974
1.16191	0.263898
1.16312	0.266297
1.16434	0.263756
1.16555	0.263191
1.16677	0.265031
1.16798	0.26102
1.1692	0.267879
1.17041	0.266414
1.17163	0.267959
1.17284	0.267621
1.17406	0.26711
1.17527	0.266665
1.17649	0.272393
1.17771	0.267582
1.17892	0.264475
1.18013	0.273298
1.18135	0.269889
1.18256	0.278066
1.18378	0.276126
1.185	0.273706
1.18621	0.274763
1.18743	0.275996
1.18864	0.276597
1.18986	0.276776
1.19107	0.277255
1.19228	0.277438
1.1935	0.278716
1.19471	0.275961
1.19593	0.280131
1.19714	0.27928
1.19836	0.274221
1.19957	0.277252
1.20079	0.278935
1.202	0.276941
1.20322	0.278206
1.20443	0.281931
1.20565	0.276406
1.20686	0.278684
1.20808	0.279807
1.20929	0.28279
1.2105	0.27829
1.21172	0.28102
1.21293	0.27906
1.21415	0.281029
1.21536	0.281466
1.21658	0.278198
1.21779	0.277518
1.219	0.281236
1.22022	0.278572
1.22143	0.280733
1.22265	0.287079
1.22386	0.289769
1.22507	0.286329
1.22629	0.284463
1.2275	0.286041
1.22872	0.283705
1.22993	0.283317
1.23114	0.280831
1.23236	0.28217
1.23357	0.285076
1.23479	0.287902
1.236	0.288407
1.23721	0.28767
1.23843	0.27987
1.23964	0.291229
1.24086	0.287274
1.24207	0.283833
1.24328	0.287519
1.2445	0.287411
1.24571	0.288603
1.24692	0.28487
1.24814	0.288219
1.24935	0.284896
1.25056	0.288316
1.25178	0.293871
1.25299	0.288568
1.2542	0.291123
1.25542	0.288745
1.25663	0.292123
1.25784	0.290686
1.25906	0.297796
1.26027	0.293211
1.26148	0.291679
1.2627	0.289646
1.26391	0.28659
1.26512	0.289145
1.26634	0.289336
1.26755	0.286649
1.26876	0.283935
1.26998	0.283675
1.27119	0.289694
1.2724	0.296062
1.27361	0.292489
1.27483	0.294031
1.27604	0.297019
1.27725	0.2966
1.27847	0.288749
1.27968	0.288291
1.28089	0.291079
1.2821	0.290286
1.28332	0.285595
1.28453	0.285625
1.28574	0.285889
1.28696	0.287421
1.28817	0.290523
1.28938	0.286213
1.29059	0.286144
1.2918	0.281904
1.29302	0.288272
1.29423	0.289938
1.29544	0.285575
1.29665	0.282625
1.29787	0.289938
1.29908	0.283072
1.30029	0.281315
1.3015	0.285445
1.30272	0.291212
1.30393	0.289636
1.30514	0.288712
1.30635	0.281332
1.30756	0.284792
1.30878	0.288305
1.30999	0.281592
1.3112	0.279775
1.31241	0.284766
1.31363	0.282286
1.31484	0.284621
1.31605	0.283987
1.31726	0.283818
1.31847	0.287506
1.31969	0.286847
1.3209	0.284037
1.32211	0.278516
1.32332	0.281289
1.32453	0.280189
1.32574	0.278642
1.32696	0.279665
1.32817	0.275193
1.32938	0.279324
1.33059	0.281115
1.3318	0.277504
1.33301	0.280359
1.33422	0.27994
1.33544	0.280818
1.33665	0.277513
1.33786	0.274586
1.33907	0.273741
1.34028	0.280375
1.34149	0.282863
1.3427	0.283584
1.34392	0.285545
1.34513	0.274833
1.34634	0.275159
1.34755	0.274875
1.34876	0.269509
1.34997	0.272641
1.35118	0.27247
1.35239	0.272406
1.3536	0.274691
1.35481	0.273976
1.35603	0.274938
1.35724	0.272817
1.35845	0.270398
1.35966	0.271396
1.36087	0.270446
1.36208	0.267236
1.36329	0.268155
1.3645	0.264911
1.36571	0.263315
1.36692	0.269448
1.36813	0.268183
1.36934	0.266083
1.37055	0.267091
1.37177	0.266668
1.37297	0.264257
1.37419	0.265294
1.3754	0.259375
1.37661	0.258303
1.37782	0.266869
1.37903	0.268182
1.38024	0.266203
1.38145	0.262822
1.38266	0.263386
1.38387	0.267189
1.38508	0.259929
1.38629	0.256855
1.3875	0.258268
1.38871	0.257137
1.38992	0.256809
1.39113	0.262975
1.39234	0.262984
1.39355	0.258955
1.39476	0.257891
1.39597	0.254643
1.39718	0.257532
1.39839	0.257746
1.3996	0.263457
1.40081	0.263359
1.40202	0.258524
1.40323	0.25239
1.40444	0.252825
1.40565	0.248639
1.40686	0.248498
1.40807	0.248588
1.40928	0.252802
1.41049	0.252048
1.41169	0.251078
1.4129	0.254915
1.41411	0.254484
1.41532	0.249703
1.41653	0.24695
1.41774	0.246264
1.41895	0.249919
1.42016	0.244469
1.42137	0.241733
1.42258	0.238885
1.42379	0.244609
1.425	0.245561
1.42621	0.240839
1.42742	0.240998
1.42862	0.242608
1.42983	0.24019
1.43104	0.244758
1.43225	0.244865
1.43346	0.243113
1.43467	0.245246
1.43588	0.237098
1.43709	0.239346
1.43829	0.237764
1.4395	0.239923
1.44071	0.237421
1.44192	0.234068
1.44313	0.233838
1.44434	0.23186
1.44555	0.230008
1.44676	0.232258
1.44796	0.228798
1.44917	0.231807
1.45038	0.232114
1.45159	0.23217
1.4528	0.225973
1.45401	0.230571
1.45521	0.230043
1.45642	0.231239
1.45763	0.229478
1.45884	0.221387
1.46005	0.22381
1.46126	0.21934
1.46246	0.224684
1.46367	0.224468
1.46488	0.22569
1.46609	0.224368
1.4673	0.221157
1.4685	0.218695
1.46971	0.217312
1.47092	0.215589
1.47213	0.217271
1.47333	0.219979
1.47454	0.219563
1.47575	0.214635
1.47696	0.216315
1.47817	0.220253
1.47937	0.222015
1.48058	0.220707
1.48179	0.214483
1.483	0.214679
1.4842	0.212363
1.48541	0.209181
1.48662	0.213995
1.48783	0.212075
1.48903	0.215239
1.49024	0.21052
1.49145	0.211065
1.49266	0.207338
1.49386	0.211489
1.49507	0.208775
1.49628	0.20945
1.49748	0.208066
1.49869	0.204408
1.4999	0.204778
1.5011	0.205258
1.50231	0.204034
1.50352	0.200579
1.50473	0.203422
1.50593	0.201492
1.50714	0.203286
1.50835	0.201313
1.50955	0.194631
1.51076	0.198147
1.51197	0.197244
1.51317	0.198335
1.51438	0.1978
1.51559	0.197735
1.51679	0.200333
1.518	0.199308
1.51921	0.198288
1.52041	0.199486
1.52162	0.202451
1.52282	0.193769
1.52403	0.194245
1.52524	0.193993
1.52644	0.194579
1.52765	0.191043
1.52886	0.189121
1.53006	0.191063
1.53127	0.189278
1.53248	0.190786
1.53368	0.18744
1.53489	0.187987
1.53609	0.18694
1.5373	0.188367
1.53851	0.189958
1.53971	0.186395
1.54092	0.185286
1.54212	0.18597
1.54333	0.185783
1.54454	0.18368
1.54574	0.182447
1.54695	0.180674
1.54815	0.176578
1.54936	0.180986
1.55056	0.180524
1.55177	0.18761
1.55297	0.182803
1.55418	0.180765
1.55539	0.178892
1.55659	0.179504
1.5578	0.179001
1.559	0.178578
1.56021	0.174975
1.56141	0.172456
1.56262	0.173724
1.56382	0.171804
1.56503	0.173577
1.56623	0.174159
1.56744	0.17114
1.56864	0.170594
1.56985	0.168087
1.57105	0.169864
1.57226	0.167169
1.57346	0.171341
1.57467	0.166541
1.57587	0.166079
1.57708	0.1659
1.57828	0.163537
1.57949	0.165819
1.58069	0.163139
1.5819	0.162475
1.5831	0.162962
1.58431	0.158627
1.58551	0.1647
1.58672	0.165012
1.58792	0.162911
1.58912	0.162994
1.59033	0.16318
1.59153	0.160377
1.59274	0.158752
1.59394	0.159544
1.59515	0.160153
1.59635	0.158347
1.59755	0.161521
1.59876	0.155328
1.59996	0.15512
1.60117	0.15328
1.60237	0.156914
1.60358	0.150165
1.60478	0.155336
1.60598	0.154354
1.60719	0.152895
1.60839	0.150801
1.60959	0.153245
1.6108	0.155636
1.612	0.152219
1.61321	0.153479
1.61441	0.152076
1.61561	0.152044
1.61682	0.15005
1.61802	0.144626
1.61922	0.137531
1.62043	0.144235
1.62163	0.145129
1.62283	0.1448
1.62404	0.147967
1.62524	0.144294
1.62644	0.14703
1.62765	0.147314
1.62885	0.147425
1.63006	0.143348
